Date,Day,Country,Type,Counts
12/24/2014,277,Liberia,Cases,7977.0
12/21/2014,273,Liberia,Cases,
12/20/2014,272,Liberia,Cases,7862.0
12/18/2014,271,Liberia,Cases,7830.0
12/14/2014,267,Liberia,Cases,
12/9/2014,262,Liberia,Cases,7797.0
12/7/2014,260,Liberia,Cases,
12/3/2014,256,Liberia,Cases,7719.0
11/30/2014,253,Liberia,Cases,
11/28/2014,251,Liberia,Cases,7635.0
11/23/2014,246,Liberia,Cases,
11/22/2014,245,Liberia,Cases,7168.0
11/18/2014,241,Liberia,Cases,7082.0
11/16/2014,239,Liberia,Cases,
11/15/2014,238,Liberia,Cases,7069.0
11/11/2014,234,Liberia,Cases,
11/10/2014,233,Liberia,Cases,6878.0
11/9/2014,232,Liberia,Cases,
11/8/2014,231,Liberia,Cases,6822.0
11/4/2014,227,Liberia,Cases,6619.0
11/3/2014,226,Liberia,Cases,
11/2/2014,225,Liberia,Cases,
10/31/2014,222,Liberia,Cases,6525.0
10/29/2014,220,Liberia,Cases,
10/27/2014,218,Liberia,Cases,
10/25/2014,216,Liberia,Cases,6535.0
10/22/2014,214,Liberia,Cases,
10/21/2014,213,Liberia,Cases,
10/19/2014,211,Liberia,Cases,
10/18/2014,210,Liberia,Cases,4665.0
10/14/2014,206,Liberia,Cases,
10/13/2014,205,Liberia,Cases,4262.0
10/12/2014,204,Liberia,Cases,
10/11/2014,203,Liberia,Cases,4249.0
10/8/2014,200,Liberia,Cases,
10/7/2014,199,Liberia,Cases,4076.0
10/5/2014,197,Liberia,Cases,
10/4/2014,196,Liberia,Cases,3924.0
10/1/2014,193,Liberia,Cases,3834.0
9/28/2014,190,Liberia,Cases,3696.0
9/23/2014,185,Liberia,Cases,3458.0
9/21/2014,183,Liberia,Cases,3280.0
9/20/2014,182,Liberia,Cases,
9/19/2014,181,Liberia,Cases,
9/17/2014,179,Liberia,Cases,3022.0
9/14/2014,176,Liberia,Cases,2710.0
9/13/2014,175,Liberia,Cases,
9/10/2014,172,Liberia,Cases,
9/9/2014,171,Liberia,Cases,2407.0
9/7/2014,169,Liberia,Cases,2081.0
9/5/2014,167,Liberia,Cases,1871.0
8/31/2014,162,Liberia,Cases,1698.0
8/26/2014,157,Liberia,Cases,1378.0
8/20/2014,151,Liberia,Cases,1082.0
8/18/2014,149,Liberia,Cases,972.0
8/16/2014,147,Liberia,Cases,834.0
8/13/2014,144,Liberia,Cases,786.0
8/11/2014,142,Liberia,Cases,670.0
8/9/2014,140,Liberia,Cases,599.0
8/6/2014,137,Liberia,Cases,554.0
8/4/2014,135,Liberia,Cases,516.0
8/1/2014,132,Liberia,Cases,468.0
7/30/2014,129,Liberia,Cases,391.0
7/27/2014,126,Liberia,Cases,329.0
7/23/2014,123,Liberia,Cases,249.0
7/20/2014,120,Liberia,Cases,224.0
7/17/2014,117,Liberia,Cases,196.0
7/14/2014,114,Liberia,Cases,174.0
7/12/2014,112,Liberia,Cases,172.0
7/8/2014,108,Liberia,Cases,142.0
7/6/2014,106,Liberia,Cases,131.0
7/2/2014,102,Liberia,Cases,115.0
6/30/2014,100,Liberia,Cases,107.0
6/22/2014,92,Liberia,Cases,51.0
6/20/2014,90,Liberia,Cases,
6/19/2014,89,Liberia,Cases,41.0
6/18/2014,88,Liberia,Cases,
6/17/2014,87,Liberia,Cases,
6/16/2014,86,Liberia,Cases,33.0
6/10/2014,80,Liberia,Cases,13.0
6/5/2014,75,Liberia,Cases,13.0
6/3/2014,73,Liberia,Cases,13.0
6/1/2014,71,Liberia,Cases,13.0
5/28/2014,67,Liberia,Cases,13.0
5/27/2014,66,Liberia,Cases,12.0
5/23/2014,62,Liberia,Cases,12.0
5/12/2014,51,Liberia,Cases,12.0
5/10/2014,49,Liberia,Cases,12.0
5/7/2014,46,Liberia,Cases,13.0
5/5/2014,44,Liberia,Cases,13.0
5/3/2014,42,Liberia,Cases,13.0
5/1/2014,40,Liberia,Cases,13.0
4/26/2014,35,Liberia,Cases,
4/24/2014,33,Liberia,Cases,35.0
4/23/2014,32,Liberia,Cases,
4/22/2014,31,Liberia,Cases,
4/21/2014,30,Liberia,Cases,34.0
4/20/2014,29,Liberia,Cases,
4/17/2014,26,Liberia,Cases,27.0
4/16/2014,25,Liberia,Cases,27.0
4/15/2014,24,Liberia,Cases,
4/14/2014,23,Liberia,Cases,
4/11/2014,20,Liberia,Cases,26.0
4/9/2014,18,Liberia,Cases,25.0
4/7/2014,16,Liberia,Cases,21.0
4/4/2014,13,Liberia,Cases,18.0
4/1/2014,10,Liberia,Cases,8.0
3/31/2014,9,Liberia,Cases,8.0
3/29/2014,7,Liberia,Cases,7.0
3/28/2014,6,Liberia,Cases,3.0
3/27/2014,5,Liberia,Cases,8.0
3/26/2014,4,Liberia,Cases,
3/25/2014,3,Liberia,Cases,
3/24/2014,2,Liberia,Cases,
3/22/2014,0,Liberia,Cases,
1/5/2015,289,SierraLeone,Cases,10030.0
1/4/2015,288,SierraLeone,Cases,9780.0
1/3/2015,287,SierraLeone,Cases,9722.0
1/2/2015,286,SierraLeone,Cases,
12/31/2014,284,SierraLeone,Cases,9633.0
12/28/2014,281,SierraLeone,Cases,9446.0
12/27/2014,280,SierraLeone,Cases,9409.0
12/24/2014,277,SierraLeone,Cases,9203.0
12/21/2014,273,SierraLeone,Cases,9004.0
12/20/2014,272,SierraLeone,Cases,8939.0
12/18/2014,271,SierraLeone,Cases,
12/14/2014,267,SierraLeone,Cases,8356.0
12/9/2014,262,SierraLeone,Cases,
12/7/2014,260,SierraLeone,Cases,7897.0
12/3/2014,256,SierraLeone,Cases,
11/30/2014,253,SierraLeone,Cases,7312.0
11/28/2014,251,SierraLeone,Cases,
11/23/2014,246,SierraLeone,Cases,6599.0
11/22/2014,245,SierraLeone,Cases,
11/18/2014,241,SierraLeone,Cases,6190.0
11/16/2014,239,SierraLeone,Cases,6073.0
11/15/2014,238,SierraLeone,Cases,
11/11/2014,234,SierraLeone,Cases,5586.0
11/10/2014,233,SierraLeone,Cases,
11/9/2014,232,SierraLeone,Cases,5368.0
11/8/2014,231,SierraLeone,Cases,
11/4/2014,227,SierraLeone,Cases,4862.0
11/3/2014,226,SierraLeone,Cases,
11/2/2014,225,SierraLeone,Cases,4759.0
10/31/2014,222,SierraLeone,Cases,
10/29/2014,220,SierraLeone,Cases,5338.0
10/27/2014,218,SierraLeone,Cases,5235.0
10/25/2014,216,SierraLeone,Cases,
10/22/2014,214,SierraLeone,Cases,3896.0
10/21/2014,213,SierraLeone,Cases,
10/19/2014,211,SierraLeone,Cases,3706.0
10/18/2014,210,SierraLeone,Cases,
10/14/2014,206,SierraLeone,Cases,3410.0
10/13/2014,205,SierraLeone,Cases,
10/12/2014,204,SierraLeone,Cases,3252.0
10/11/2014,203,SierraLeone,Cases,
10/8/2014,200,SierraLeone,Cases,2950.0
10/7/2014,199,SierraLeone,Cases,
10/5/2014,197,SierraLeone,Cases,2789.0
10/4/2014,196,SierraLeone,Cases,
10/1/2014,193,SierraLeone,Cases,2437.0
9/28/2014,190,SierraLeone,Cases,2304.0
9/23/2014,185,SierraLeone,Cases,2021.0
9/21/2014,183,SierraLeone,Cases,1940.0
9/20/2014,182,SierraLeone,Cases,1813.0
9/19/2014,181,SierraLeone,Cases,
9/17/2014,179,SierraLeone,Cases,
9/14/2014,176,SierraLeone,Cases,1673.0
9/13/2014,175,SierraLeone,Cases,1620.0
9/10/2014,172,SierraLeone,Cases,1478.0
9/9/2014,171,SierraLeone,Cases,
9/7/2014,169,SierraLeone,Cases,1424.0
9/5/2014,167,SierraLeone,Cases,1261.0
8/31/2014,162,SierraLeone,Cases,1216.0
8/26/2014,157,SierraLeone,Cases,1026.0
8/20/2014,151,SierraLeone,Cases,910.0
8/18/2014,149,SierraLeone,Cases,907.0
8/16/2014,147,SierraLeone,Cases,848.0
8/13/2014,144,SierraLeone,Cases,810.0
8/11/2014,142,SierraLeone,Cases,783.0
8/9/2014,140,SierraLeone,Cases,730.0
